datetime,device,accx,accy,accz,gyrox,gyroy,gyroz,anglex,angley,anglez,magx,magy,magz
2024-06-18 20:44:03.587608,motor,-0.9966,-0.0068,0.0015,0.0,0.0,0.0,-67.253,89.533,-148.211,-1904,-20020,-18636
2024-06-18 20:44:03.986654,motor,-0.9966,-0.0068,0.0015,0.0,0.0,0.0,-67.253,89.533,-148.211,-1906,-20021,-18613
2024-06-18 20:44:04.485596,motor,-0.9966,-0.0073,0.0039,0.0,0.0,0.0,-67.253,89.533,-148.211,-1905,-19996,-18599
2024-06-18 20:44:10.871140,motor,-0.9961,-0.0073,0.002,0.0,0.0,0.0,-73.202,89.539,-148.211,-1908,-20021,-18625
2024-06-18 20:44:12.667150,motor,-0.9966,-0.0078,0.0024,0.0,0.0,0.0,-73.202,89.539,-148.211,-1905,-20022,-18648
2024-06-18 20:44:15.461316,motor,-0.9971,-0.0073,0.0059,0.0,0.0,0.0,-48.768,89.429,-148.211,-1897,-20024,-18621
2024-06-18 20:44:16.459250,motor,-0.9971,-0.0073,0.0059,0.0,0.0,0.0,-48.768,89.429,-148.211,-1899,-20014,-18621
2024-06-18 20:44:21.249149,motor,-0.9971,-0.0073,0.0059,0.0,0.0,0.0,-146.058,-141.685,-35.739,-1900,-20037,-18614
2024-06-18 20:44:21.648261,motor,-0.9961,-0.0078,0.0078,0.0,0.0,0.0,-146.058,-141.685,-35.739,-1893,-20027,-18579
2024-06-18 20:44:23.643925,motor,-0.9956,-0.0068,0.0073,0.0,0.0,0.0,-146.058,-141.685,-35.739,-1906,-20007,-18617
2024-06-18 20:44:28.234079,motor,-0.9966,-0.0073,0.0068,0.0,0.0,0.0,-48.356,89.418,-148.211,-1907,-20047,-18618
2024-06-18 20:44:30.229751,motor,-0.9971,-0.0073,0.0063,0.0,0.0,0.0,-46.719,89.407,-148.211,-1906,-20042,-18630
2024-06-18 20:44:33.123358,motor,-0.9961,-0.0078,0.0059,0.0,0.0,0.0,-46.719,89.407,-148.211,-1889,-20009,-18604
2024-06-18 20:44:35.218897,motor,-0.9961,-0.0078,0.0059,0.0,0.0,0.0,-69.884,89.539,-148.206,-1888,-19993,-18613
2024-06-18 20:44:35.917463,motor,-0.9961,-0.0078,0.0059,0.0,0.0,0.0,-69.884,89.539,-148.206,-1914,-20028,-18611
2024-06-18 20:44:36.117011,motor,-0.9961,-0.0078,0.0059,0.0,0.0,0.0,-69.884,89.539,-148.206,-1915,-20027,-18599
2024-06-18 20:44:36.373783,motor,-0.9961,-0.0078,0.0059,0.0,0.0,0.0,-76.278,89.544,-148.211,-19976,91,-19200
2024-06-18 20:44:38.112871,motor,-0.9961,-0.0078,0.0059,0.0,0.0,0.0,-76.278,89.544,-148.211,-1909,-19996,-18590
2024-06-18 20:44:40.707078,motor,-0.9961,-0.0078,0.0059,0.0,0.0,0.0,-76.278,89.544,-148.211,-1909,-20008,-18596
